Name;Formula;Family;Molar mass;Head Family;Head;Cyclic Head (Y/N);Sugar number in head;Carbon number;Saturated;Total  Number of Ramified Carbons;Multichain;JunTyp;Jun Direction;CMC (mM);Surface tension (CMC);Amin;Efficiency C20;Nagg
N-Decyl-N-Methyl-D-Gluconamide;C17H35NO6;Alkylglyconamides;349,46;Glucose;Acide gluconique;N;1;10;Y;0;Y;Amide;1;1,29;35,9;42,0;0,2512;
N-Decyl-N-Methyl-D-Lactobionamide;C23H45NO11;Alkylglyconamides;511,6;Lactose;Acide lactobionique;YN;2;10;Y;0;Y;Amide;1;2,31;38,1;40,0;0,5129;
N-Dodecanoyl-N-Methyl-D-Lactitolamine;C25H49NO11;N-Acyl-glycamines;539,66;Lactose;Lactitolamine;YN;2;11;Y;0;Y;Amide;2;0,447;37,2;49,9;0,0955;
N-Dodecyl Dextronamide;C66H117NO46;Alkylglyconamides;1660,61;Dextran;Acide aldonique du dextran;YN;9;12;Y;0;N;Amide;1;0,33;43,8;;0,1;
N-Dodecyl-D-Lactobionamide;C24H47NO11;Alkylglyconamides;525,63;Lactose;Acide lactobionique;YN;2;12;Y;0;N;Amide;1;0,251;35,1;39,0;;
N-Dodecyl-D-Lactobionamide;C24H47NO11;Alkylglyconamides;525,63;Lactose;Acide lactobionique;YN;2;12;Y;0;N;Amide;1;0,35;38,0;42,0;;
N-Dodecyl-D-Lactobionamide;C24H47NO11;Alkylglyconamides;525,63;Lactose;Acide lactobionique;YN;2;12;Y;0;N;Amide;1;;;;;
N-Dodecyl-N-Methyl-D-Gluconamide;C19H39NO6;Alkylglyconamides;377,52;Glucose;Acide gluconique;N;1;12;Y;0;Y;Amide;1;0,148;32,2;39,3;;
N-Dodecyl-N-Methyl-D-Gluconamide;C19H39NO6;Alkylglyconamides;377,52;Glucose;Acide gluconique;N;1;12;Y;0;Y;Amide;1;0,146;34,4;42,0;0,0166;
N-Dodecyl-N-Methyl-D-Lactobionamide;C25H49NO11;Alkylglyconamides;539,66;Lactose;Acide lactobionique;YN;2;12;Y;0;Y;Amide;1;0,338;34,3;40,6;;
N-Dodecyl-N-Methyl-D-Lactobionamide;C25H49NO11;Alkylglyconamides;539,66;Lactose;Acide lactobionique;YN;2;12;Y;0;Y;Amide;1;0,249;35,2;42,0;0,0355;
N-Dodecyl-N-Methyl-D-Glucoheptonamide ;C20H41NO7;Alkylglyconamides;407,54;Glucoheptose;Acide glucoheptonique;N;1;12;Y;0;Y;Amide;1;0,06;36,9;44,0;;
N-Hexadecanoyl-N-Methyl-D-Lactitolamine;C29H57NO11;N-Acyl-glycamines;595,76;Lactose;Lactitolamine;YN;2;15;Y;0;Y;Amide;2;0,0175;36,5;49,4;0,0035;
N-Hexadecyl-N-Methyl-D-Gluconamide;C23H47NO6;Alkylglyconamides;433,62;Glucose;Acide gluconique;N;1;16;Y;0;Y;Amide;1;0,00774;33,5;45,0;0,0008;
N-Hexadecyl-N-Methyl-D-Lactobionamide;C29H57NO11;Alkylglyconamides;595,76;Lactose;Acide lactobionique;YN;2;16;Y;0;Y;Amide;1;0,0093;34,8;44,0;0,0010;
N-Octadecanoyl-N-Methyl-D-Lactitolamine;C31H61NO11;N-Acyl-glycamines;623,82;Lactose;Lactitolamine;YN;2;17;Y;0;Y;Amide;2;0,00562;35,7;49,9;0,0011;
N-Octadecyl-N-Methyl-D-Gluconamide;C25H51NO6;Alkylglyconamides;461,68;Glucose;Acide gluconique;N;1;18;Y;0;Y;Amide;1;0,00285;32,3;42,0;0,0003;
N-Octadecyl-N-Methyl-D-Lactobionamide;C31H61NO11;Alkylglyconamides;623,82;Lactose;Acide lactobionique;YN;2;18;Y;0;Y;Amide;1;0,0033;33,8;42,0;0,0005;
N-Octyl-D-Glucoheptonamide;C15H31NO7;Alkylglyconamides;337,41;Glucoheptose;Acide glucoheptonique;N;1;8;Y;0;N;Amide;1;0,4;50,7;58,0;;
N-Oleyl-N-Methyl-D-Gluconamide;C25H49NO6;Alkylglyconamides;459,66;Glucose;Acide gluconique;N;1;18;N;0;Y;Amide;1;0,0322;34;43,0;0,0043;
N-Oleyl-N-Methyl-D-Lactobionamide;C31H59NO11;Alkylglyconamides;621,8;Lactose;Acide lactobionique;YN;2;18;N;0;Y;Amide;1;0,0538;35;43,0;0,0081;
N-Tetradecanoyl-N-Methyl-D-Lactitolamine;C27H53NO11;N-Acyl-glycamines;567,71;Lactose;Lactitolamine;YN;2;13;Y;0;Y;Amide;2;0,0676;37,0;50,8;0,0135;
N-Tetradecyl-D-Lactobionamide;C26H51NO11;Alkylglyconamides;553,68;Lactose;Acide lactobionique;YN;2;14;Y;0;N;Amide;1;;;;;
N-Tetradecyl-N-Methyl-D-Gluconamide;C21H43NO6;Alkylglyconamides;405,57;Glucose;Acide gluconique;N;1;14;Y;0;Y;Amide;1;0,0236;34,2;42,0;0,0028;
N-Tetradecyl-N-Methyl-D-Lactobionamide;C27H53NO11;Alkylglyconamides;567,71;Lactose;Acide lactobionique;YN;2;14;Y;0;Y;Amide;1;0,0364;34,9;44,0;0,0040;
