Name;Formula;Family;Molar mass;Head Family;Head;Cyclic Head (Y/N);Sugar number in head;Carbon number;Saturated;Total  Number of Ramified Carbons;Multichain;JunTyp;Jun Direction;CMC (mM);Surface tension (CMC);Amin;Efficiency C20;Nagg
6''-O-Dodecanoyl-D-maltotriose;C30H54O17;Sugar Esters;686,74;Maltotriose;Maltotriose;Y;3;11;Y;0;N;Ester;2;0,052;24,5;34,0;0,005;
6-O-Dodecanoyl-D-mannose;C18H34O7;Sugar Esters;362,46;Mannose;Mannose;Y;1;11;Y;0;N;Ester;2;0,213;25,3;37,0;;
6-O-Dodecanoyl-D-sucrose;C24H44O12;Sugar Esters;524,6;Sucrose;Sucrose;Y;2;11;Y;0;N;Ester;2;0,2726;43,14;45,6;;80
6-O-Dodecanoyl-D-sucrose;C24H44O12;Sugar Esters;524,6;Sucrose;Sucrose;Y;2;11;Y;0;N;Ester;2;0,25;31,5;44,0;0,032;
6'-O-Hexadecanoyl-D-maltose;C28H52O12;Sugar Esters;580,71;Maltose;Maltose;Y;2;11;Y;0;N;Ester;2;0,006;32,5;26,0;0,002;
6''-O-Hexadecanoyl-D-maltotriose;C34H62O17;Sugar Esters;742,85;Maltotriose;Maltotriose;Y;3;15;Y;0;N;Ester;2;0,013;35,0;77,0;0,00013;
6-O-Hexadecanoyl-D-sucrose;C28H52O12;Sugar Esters;580,71;Sucrose;Sucrose;Y;2;15;Y;0;N;Ester;2;0,0055;47,06;105,8;;110
6-O-Hexadecanoyl-D-sucrose;C28H52O12;Sugar Esters;580,71;Sucrose;Sucrose;Y;2;15;Y;0;N;Ester;2;0,028;35,3;91,0;0,001;
6'-O-Octadecanoyl-D-maltose;C30H56O12;Sugar Esters;608,76;Maltose;Maltose;Y;2;17;Y;0;N;Ester;2;0,032;32,5;49,0;0,003;
6''-O-Octadecanoyl-D-maltotriose;C36H66O17;Sugar Esters;770,9;Maltotriose;Maltotriose;Y;3;17;Y;0;N;Ester;2;0,002;35,5;21,0;0,001;
6-O-Octanoyl-D-glucose;C14H26O7;Sugar Esters;;Glucose;Glucose;Y;1;7;Y;0;N;Ester;2;19,1;25,1;37,0;;
6-O-Octanoyl-D-mannose;C14H26O7;Sugar Esters;306,35;Mannose;Mannose;Y;1;7;Y;0;N;Ester;2;13,1;27,7;37,0;;
6-O-Octanoyl-D-sucrose;C20H36O12;Sugar Esters;468,49;Sucrose;Sucrose;Y;2;7;Y;0;N;Ester;2;2,34;;40,7;;
6'-O-Tetradecanoyl-D-maltose;C26H48O12;Sugar Esters;552,65;Maltose;Maltose;Y;2;13;Y;0;N;Ester;2;0,037;35,0;78,0;0,001;
6''-O-Tetradecanoyl-D-maltotriose;C32H58O17;Sugar Esters;714,79;Maltotriose;Maltotriose;Y;3;13;Y;0;N;Ester;2;0,028;36,5;75,0;0,002;
6-O-Tetradecanoyl-D-mannose;C20H38O7;Sugar Esters;390,51;Mannose;Mannose;Y;1;13;Y;0;N;Ester;2;0,0181;27,7;38,0;;
6-O-Tetradecanoyl-D-sucrose;C26H48O12;Sugar Esters;552,65;Sucrose;Sucrose;Y;2;13;Y;0;N;Ester;2;0,0191;48,68;66,2;;90
Undecenyl-alpha-D-Xyloside;C16H30O5;Alkylglycosides;302,41;Xylose;Xylose;Y;1;11;N;0;N;Ether;0;0,16;36,5;45,0;;
Undecenyl-beta-D-Xyloside;C16H30O5;Alkylglycosides;302,41;Xylose;Xylose;Y;1;11;N;0;N;Ether;0;0,18;39;42,0;;
6-O-[3-(hexyloctylthio)-propanoyl]-D-mannose;C23H44O7S;Sugar Esters Derivatives;464,66;Mannose;Mannose;Y;1;14;Y;6;Y;Ester+thioether;2;0,0063;28,5;31,0;;
6-O-[3-(tetradecylthio)-propanoyl]-D-mannose;C23H44O7S;Sugar Esters Derivatives;464,66;Mannose;Mannose;Y;1;14;Y;0;Y;Ester+thioether;2;0,0013;29,0;;;
Octyl D-Glucuronate;C14H26O7;Sugar Esters Derivatives;306,35;Glucose;Acide glucuronique;Y;1;8;Y;0;N;Ester;1;10,7;28,0;44,0;;
Octyl-alpha-D-Glucuronolactone;C14H24O6;Sugar Esters Derivatives;288,34;Glucose;Glucuronolactone;Y;1;8;Y;0;N;Ether;0;1,3;32,8;43,0;;
Octyl-beta-D-Glucuronolactone;C14H24O6;Sugar Esters Derivatives;288,34;Glucose;Glucuronolactone;Y;1;8;Y;0;N;Ether;0;2,4;35,2;40,0;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;;;
